image_id,image_path,question,answer
804774412,images/804774412.jpg,What is the title of this book?,The Real Problem Solvers: Social Entrepreneurs in America (Stanford Business Books)
804774412,images/804774412.jpg,What type of book is this?,Politics & Social Sciences
804774412,images/804774412.jpg,Is this a sociopolitical book?,Yes
1494260174,images/1494260174.jpg,Who wrote this book?,Tom Tango
1494260174,images/1494260174.jpg,What is the title of this book?,The Book: Playing The Percentages In Baseball
1494260174,images/1494260174.jpg,What is the genre of this book?,Sports & Outdoors
1494260174,images/1494260174.jpg,Is this book related to Sports & Outdoors?,Yes
1494260174,images/1494260174.jpg,Is this book related to Humor & Entertainment?,No
345021711,images/345021711.jpg,Who is the author of this book?,Paul R Ehrlich
345021711,images/345021711.jpg,What is the title of this book?,The population bomb
345021711,images/345021711.jpg,What is the genre of this book?,Politics & Social Sciences
345021711,images/345021711.jpg,Is this a sociopolitical book?,Yes
345021711,images/345021711.jpg,Is this a homosexuality book?,No
1782124233,images/1782124233.jpg,Who is the author of this book?,John Milton
1782124233,images/1782124233.jpg,What is the title of this book?,Paradise Lost
1782124233,images/1782124233.jpg,What type of book is this?,Literature & Fiction
1782124233,images/1782124233.jpg,Is this book related to Literature & Fiction?,Yes
1782124233,images/1782124233.jpg,Is this book related to Arts & Photography?,No
801869781,images/801869781.jpg,Who is the author of this book?,Timothy E. Quill
801869781,images/801869781.jpg,What is the title of this book?,A Midwife through the Dying Process: Stories of Healing and Hard Choices at the End of Life
801869781,images/801869781.jpg,What is the genre of this book?,Medical Books
801869781,images/801869781.jpg,Is this book related to Medical Books?,Yes
801869781,images/801869781.jpg,Is this book related to Medical Books?,No
3662242168,images/3662242168.jpg,Who wrote this book?,Richard Häffner
3662242168,images/3662242168.jpg,What is the title of this book?,Die Beziehungen Zwischen Menstruation und Nerven- und Geisteskrankheiten auf Grund von Literatur und Klinischer Beobachtung: Inaugural-Dissertation ... zu Heidelberg (German Edition)
3662242168,images/3662242168.jpg,What type of book is this?,"Health, Fitness & Dieting"
3662242168,images/3662242168.jpg,Is this a fitness book?,Yes
3662242168,images/3662242168.jpg,Is this a journey related book?,No
448487683,images/448487683.jpg,Who wrote this book?,Eric Carle
448487683,images/448487683.jpg,What is the title of this book?,Eric Carle's How Things Grow
448487683,images/448487683.jpg,What is the genre of this book?,Children's Books
448487683,images/448487683.jpg,Is this book related to Children's Books?,Yes
448487683,images/448487683.jpg,Is this book related to Religion & Spirituality?,No
1501103830,images/1501103830.jpg,Who is the author of this book?,Scott Eyman
1501103830,images/1501103830.jpg,What is the title of this book?,The Speed of Sound: Hollywood and the Talkie Revolution 1926-1930
1501103830,images/1501103830.jpg,What is the genre of this book?,Humor & Entertainment
1501103830,images/1501103830.jpg,Is this book related to Humor & Entertainment?,Yes
1501103830,images/1501103830.jpg,Is this book related to Christian Books & Bibles?,No
1480184810,images/1480184810.jpg,Who is the author of this book?,Tanya Valentine
1480184810,images/1480184810.jpg,What is the title of this book?,All Bears Need Love
1480184810,images/1480184810.jpg,What is the genre of this book?,Parenting & Relationships
1480184810,images/1480184810.jpg,Is this book related to Parenting & Relationships?,Yes
1480184810,images/1480184810.jpg,Is this book related to Christian Books & Bibles?,No
1434810690,images/1434810690.jpg,Who wrote this book?,Michelle L. Long
1434810690,images/1434810690.jpg,What is the title of this book?,"Successful QuickBooks Consulting: The Comprehensive Guide to Starting and Growing a QuickBooks Consulting Business ---Ideal for Bookkeeping or Bookkeepers, Accounting or Accountants, or Consultants"
1434810690,images/1434810690.jpg,What type of book is this?,Computers & Technology
1434810690,images/1434810690.jpg,Is this book related to Computers & Technology?,Yes
1434810690,images/1434810690.jpg,"Is this book related to Cookbooks, Food & Wine?",No
739794922,images/739794922.jpg,Who wrote this book?,Ibp Usa
739794922,images/739794922.jpg,What is the title of this book?,Micronesia Country Study Guide
739794922,images/739794922.jpg,What is the genre of this book?,Travel
739794922,images/739794922.jpg,Is this a journey related book?,Yes
739794922,images/739794922.jpg,Is this a life story book?,No
1476757801,images/1476757801.jpg,Who wrote this book?,Tony Robbins
1476757801,images/1476757801.jpg,What is the title of this book?,MONEY Master the Game: 7 Simple Steps to Financial Freedom
1476757801,images/1476757801.jpg,What type of book is this?,Self-Help
1476757801,images/1476757801.jpg,Is this a motivational book?,Yes
1476757801,images/1476757801.jpg,Is this a transportation engineering book?,No
1402735154,images/1402735154.jpg,Who wrote this book?,Kaaren Poole
1402735154,images/1402735154.jpg,What is the title of this book?,How to Sketch Animals
1402735154,images/1402735154.jpg,What type of book is this?,Arts & Photography
1402735154,images/1402735154.jpg,Is this book related to Arts & Photography?,Yes
1402735154,images/1402735154.jpg,Is this book related to Christian Books & Bibles?,No
375823034,images/375823034.jpg,Who wrote this book?,Dr. Robert T. Bakker
375823034,images/375823034.jpg,What is the title of this book?,"Raptor Pack (Step-into-Reading, Step 5)"
375823034,images/375823034.jpg,What is the genre of this book?,Children's Books
375823034,images/375823034.jpg,Is this a kids book?,Yes
375823034,images/375823034.jpg,Is this a youngster related book?,No
1437708773,images/1437708773.jpg,Who wrote this book?,Michael S. Block DMD
